State,City,Zipcode,Store Number,URL,mintemp_f,maxtemp_f,avgtemp_f,totalprecip_in,avghumidity,condition,icon,DMA
Alabama,Alexander City,35010,6889,https://www.homedepot.com/l/Alexander-City/AL/Alexander-City/35010/6889,72.0,93.6,86.8,0.21,72.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,SE
Alabama,Auburn (opelika),36801,816,https://www.homedepot.com/l/Auburn-opelika/AL/Opelika/36801/816,73.2,96.8,87.9,0.41,73.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,SE
Alabama,Daphne,36526,863,https://www.homedepot.com/l/Daphne/AL/Daphne/36526/863,77.5,90.7,85.3,0.28,72.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,Decatur,35603,884,https://www.homedepot.com/l/Decatur/AL/Decatur/35603/884,73.8,92.8,85.8,0.2,68.0,Patchy light rain with thunder,//cdn.weatherapi.com/weather/64x64/day/386.png,SE
Alabama,Dothan,36303,808,https://www.homedepot.com/l/Dothan/AL/Dothan/36303/808,74.8,93.7,87.0,0.04,69.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Alabama,E Montgomery,36117,813,https://www.homedepot.com/l/E-Montgomery/AL/Montgomery/36117/813,73.2,94.1,87.7,0.11,69.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,Eastwood,35210,880,https://www.homedepot.com/l/Eastwood/AL/Birmingham/35210/880,78.3,98.1,91.7,0.0,57.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,SE
Alabama,Fairfield,35064,882,https://www.homedepot.com/l/Fairfield/AL/Fairfield/35064/882,77.0,95.7,90.5,0.02,62.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,SE
Alabama,"Florence,AL",35630,8577,https://www.homedepot.com/l/Florence-AL/AL/Florence/35630/8577,73.2,92.1,84.6,0.07,76.0,Patchy light rain with thunder,//cdn.weatherapi.com/weather/64x64/day/386.png,SE
Alabama,Foley,36535,802,https://www.homedepot.com/l/Foley/AL/Foley/36535/802,78.8,88.3,84.7,0.53,75.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,SE
