State,City,Zipcode,Store Number,URL
Alabama,Alexander City,35010,6889,https://www.homedepot.com/l/Alexander-City/AL/Alexander-City/35010/6889
Alabama,Auburn (opelika),36801,816,https://www.homedepot.com/l/Auburn-opelika/AL/Opelika/36801/816
Alabama,Daphne,36526,863,https://www.homedepot.com/l/Daphne/AL/Daphne/36526/863
Alabama,Decatur,35603,884,https://www.homedepot.com/l/Decatur/AL/Decatur/35603/884
Alabama,Dothan,36303,808,https://www.homedepot.com/l/Dothan/AL/Dothan/36303/808
Alabama,E Montgomery,36117,813,https://www.homedepot.com/l/E-Montgomery/AL/Montgomery/36117/813
Alabama,Eastwood,35210,880,https://www.homedepot.com/l/Eastwood/AL/Birmingham/35210/880
Alabama,Fairfield,35064,882,https://www.homedepot.com/l/Fairfield/AL/Fairfield/35064/882
Alabama,"Florence,AL",35630,8577,https://www.homedepot.com/l/Florence-AL/AL/Florence/35630/8577
Alabama,Foley,36535,802,https://www.homedepot.com/l/Foley/AL/Foley/36535/802
Alabama,Hoover,35244,881,https://www.homedepot.com/l/Hoover/AL/Birmingham/35244/881
Alabama,Inverness,35242,875,https://www.homedepot.com/l/Inverness/AL/Birmingham/35242/875
Alabama,"Jasper,AL",35501,810,https://www.homedepot.com/l/Jasper-AL/AL/Jasper/35501/810
Alabama,Mobile,36609,865,https://www.homedepot.com/l/Mobile/AL/Mobile/36609/865
Alabama,Montgomery,36117,883,https://www.homedepot.com/l/Montgomery/AL/Montgomery/36117/883
Alabama,N Huntsville,35801,804,https://www.homedepot.com/l/N-Huntsville/AL/Huntsville/35801/804
Alabama,"Oxford,AL",36203,866,https://www.homedepot.com/l/Oxford-AL/AL/Oxford/36203/866
Alabama,Pelham,35124,805,https://www.homedepot.com/l/Pelham/AL/Pelham/35124/805
Alabama,Pell City,35125,818,https://www.homedepot.com/l/Pell-City/AL/Pell-City/35125/818
Alabama,Phenix City,36867,817,https://www.homedepot.com/l/Phenix-City/AL/Phenix-City/36867/817
Alabama,Prattville,36066,806,https://www.homedepot.com/l/Prattville/AL/Prattville/36066/806
Alabama,S Huntsville,35803,888,https://www.homedepot.com/l/S-Huntsville/AL/Huntsville/35803/888
Alabama,Scottsboro,35768,812,https://www.homedepot.com/l/Scottsboro/AL/Scottsboro/35768/812
Alabama,Sylacauga,35150,809,https://www.homedepot.com/l/Sylacauga/AL/Sylacauga/35150/809
Alabama,Trussville,35173,887,https://www.homedepot.com/l/Trussville/AL/Trussville/35173/887
Alabama,Tuscaloosa,35404,877,https://www.homedepot.com/l/Tuscaloosa/AL/Tuscaloosa/35404/877
Alabama,W Huntsville,35757,803,https://www.homedepot.com/l/W-Huntsville/AL/Madison/35757/803
Alabama,W Mobile,36695,801,https://www.homedepot.com/l/W-Mobile/AL/Mobile/36695/801
Alaska,Anchorage,99503,1301,https://www.homedepot.com/l/Anchorage/AK/Anchorage/99503/1301
Alaska,Fairbanks,99701,1303,https://www.homedepot.com/l/Fairbanks/AK/Fairbanks/99701/1303
Alaska,Juneau,99801,8939,https://www.homedepot.com/l/Juneau/AK/Juneau/99801/8939
Alaska,Kenai,99611,8938,https://www.homedepot.com/l/Kenai/AK/Kenai/99611/8938
Alaska,Ne Anchorage,99508,1302,https://www.homedepot.com/l/Ne-Anchorage/AK/Anchorage/99508/1302
Alaska,Se Anchorage,99507,8940,https://www.homedepot.com/l/Se-Anchorage/AK/Anchorage/99507/8940
Alaska,Wasilla,99654,1304,https://www.homedepot.com/l/Wasilla/AK/Wasilla/99654/1304
Arizona,Apache Junction,85209,404,https://www.homedepot.com/l/Apache-Junction/AZ/Mesa/85209/404
Arizona,Arrowhead Ranch,85308,475,https://www.homedepot.com/l/Arrowhead-Ranch/AZ/Glendale/85308/475
Arizona,Avondale,85323,441,https://www.homedepot.com/l/Avondale/AZ/Avondale/85323/441
Arizona,Bullhead City,86429,442,https://www.homedepot.com/l/Bullhead-City/AZ/Bullhead-City/86429/442
Arizona,Camelback,85031,485,https://www.homedepot.com/l/Camelback/AZ/Phoenix/85031/485
Arizona,Carefree,85331,488,https://www.homedepot.com/l/Carefree/AZ/Cave-Creek/85331/488
Arizona,Casa Grande,85122,408,https://www.homedepot.com/l/Casa-Grande/AZ/Casa-Grande/85122/408
Arizona,Cave Creek,85022,480,https://www.homedepot.com/l/Cave-Creek/AZ/Phoenix/85022/480
Arizona,Central Tucson (el Con),85716,486,https://www.homedepot.com/l/Central-Tucson-el-Con/AZ/Tucson/85716/486
Arizona,Chandler,85224,470,https://www.homedepot.com/l/Chandler/AZ/Chandler/85224/470
Arizona,Chandler/Germann Rd,85286,8582,https://www.homedepot.com/l/Chandler-Germann-Rd/AZ/Chandler/85286/8582
Arizona,Cottonwood,86326,423,https://www.homedepot.com/l/Cottonwood/AZ/Cottonwood/86326/423
Arizona,Flagstaff,86001,482,https://www.homedepot.com/l/Flagstaff/AZ/Flagstaff/86001/482
Arizona,Flagstaff East,86004,421,https://www.homedepot.com/l/Flagstaff-East/AZ/Flagstaff/86004/421
Arizona,Gilbert,85296,471,https://www.homedepot.com/l/Gilbert/AZ/Gilbert/85296/471
Arizona,Glendale III,85302,405,https://www.homedepot.com/l/Glendale-III/AZ/Glendale/85302/405
Arizona,Irvington,85714,467,https://www.homedepot.com/l/Irvington/AZ/Tucson/85714/467
Arizona,Kingman,86409,416,https://www.homedepot.com/l/Kingman/AZ/Kingman/86409/416
Arizona,Lake Havasu City,86404,403,https://www.homedepot.com/l/Lake-Havasu-City/AZ/Lake-Havasu-City/86404/403
Arizona,Marana (nw Tucson),85741,478,https://www.homedepot.com/l/Marana-nw-Tucson/AZ/Tucson/85741/478
Arizona,Mcdowell,85035,455,https://www.homedepot.com/l/Mcdowell/AZ/Phoenix/85035/455
Arizona,Mesa,85210,469,https://www.homedepot.com/l/Mesa/AZ/Mesa/85210/469
Arizona,"Mesa,AZ",85201,6862,https://www.homedepot.com/l/Mesa-AZ/AZ/Mesa/85201/6862
Arizona,N Phoenix,85022,401,https://www.homedepot.com/l/N-Phoenix/AZ/Phoenix/85022/401
Arizona,N Scottsdale,85260,472,https://www.homedepot.com/l/N-Scottsdale/AZ/Scottsdale/85260/472
Arizona,N Tucson (oro Valley),85737,481,https://www.homedepot.com/l/N-Tucson-oro-Valley/AZ/Oro-Valley/85737/481
Arizona,Ne Mesa,85215,406,https://www.homedepot.com/l/Ne-Mesa/AZ/Mesa/85215/406
Arizona,Nogales,85621,8488,https://www.homedepot.com/l/Nogales/AZ/Nogales/85621/8488
Arizona,North Mesa,85204,473,https://www.homedepot.com/l/North-Mesa/AZ/Mesa/85204/473
Arizona,Ocotillo/S Chandler,85248,417,https://www.homedepot.com/l/Ocotillo-S-Chandler/AZ/Chandler/85248/417
Arizona,Payson,85541,422,https://www.homedepot.com/l/Payson/AZ/Payson/85541/422
Arizona,Peoria,85345,453,https://www.homedepot.com/l/Peoria/AZ/Peoria/85345/453
Arizona,Peoria/Happy Valley,85383,424,https://www.homedepot.com/l/Peoria-Happy-Valley/AZ/Peoria/85383/424
Arizona,Phoenix (51st/Baseline),85339,447,https://www.homedepot.com/l/Phoenix-51st-Baseline/AZ/Laveen/85339/447
Arizona,Prescott,86301,452,https://www.homedepot.com/l/Prescott/AZ/Prescott/86301/452
